image_hash,emotion,dialog
0,Appreciative (Grateful),home sweet home
0,Glamorous,in my big house
0,Appreciative (Grateful),"Its a house, so like it"
1,Discouraging,How can you get any work done in such a disorganized office?
2,Empathetic,I hope the person who made this made a lot of money
3,Erratic,Is the street skewed or am I just kind of drunk?
3,Boyish,I think you are drunk bro.
3,Erratic,Is it ok?  Are you mad?
4,Destructive,This ugly box of a building should be torn down and turned into tombstones.
5,"Escapist (Dreamer, Seeks Distraction)",Oh to hit the road and just keep walking.
6,"Whimsical (Playful, Fanciful)",I can't wait to buy these shirts for my mom's birthday!
6,Dramatic,Your mom will have quite a surprise when she sees the shirts!
6,"Whimsical (Playful, Fanciful)",she knows my jokster mentality 
7,Extravagant,These flowers look very expensive.
7,Fun-loving,Expensive or not they look amazing to make a bouquet out of.
7,Extravagant,I would love to put some of these in a vase to set on a window sill.
8,Sentimental,I will miss the band
8,Observant,"You were in band before, when was that?"
8,Sentimental,A long time ago in the best years of my life in high school.
9,Rational,Two good friends.
10,Tough,he needs to try harder to play that bass
11,Scornful,These are the most disgusting candies.  If you like them you should be ashamed of yourself.
12,Considerate,As he accepted his award he thanked everyone close to him. He was so thankful.
13,Sweet,I love cockpit shots like this.
14,Earnest (Enthusiastic),Let's join the march!
15,Calm,This band was good but a little too up-tempo for me.
15,Opinionated,"The best part about that band is their promotional art, I don't think they sound very good."
15,Calm,I think everybody enjoyed and were satisfied with the performance
16,Rustic (Rural),There seems to be a mighty storm comin'!
17,Absentminded,"Oh no, did I feed my fly traps lately?"
18,"Neurotic (Manic, Obsessive)",Trying to figure out where this is for my next mission
19,Artificial,"Bird, fly bird fly."
20,Warm,A very nice decorated picture.
20,Obnoxious,Are you sure you like it? I do not think so!
20,Warm,You will get used to it after the headache goes away.
21,Romantic,I would love to have dinner as the sun sets with my loved on facing this statue.
22,Nihilistic,There is no purpose for this.
22,Paranoid,You are right it could just fall and hurt people.
22,Nihilistic,"But if those people did get hurt and somehow perish, that means they really had no purpose in life"
23,Daring,He was contemplating his next move
23,Melancholic,I hope he isn't thinking about jumping off a bridge.
23,Daring,I bet he is planning to run away from the woman glaring in his direction.
24,"Conceited (Arrogant, Egotistical)",What a pathetic little flower.
25,Destructive,Looking at those windows makes me want to throw rocks at them.
26,Daring,I bet you could summon all sorts of stuff with that book!
27,Playful,Now if only a little bird would land on the beam so I can take a pretty picture.
27,Anxious,"But it might fall, oh my."
27,Playful,But they can fly! So it will be alright. DoDo.
28,Erratic,The view always turns me on.
29,Old-fashioned,"What happened to giving a speech without a big screen thing, can't anyone use their imagination anymore?"
29,Playful,Maybe there are a lot of visuals to distract from the speaker.
29,Old-fashioned,That's a lot of mumbo jumbo.
30,Businesslike,You could build a lucrative resort here.
31,Sensitive,The history here is so amazing.
31,Overimaginative,Free Derry - or free dairy - ice cream!!!
31,Sensitive,Would you like to share my ice cream?
32,"Vacuous (Empty, Unintelligent)",What happens if you hit the ball?
33,Wishful,I could easily get up on that and sleep right now! 
34,Opinionated,I think I'd be a great city worker who cleans floors.
35,"Vivacious (Lively, Animated)",Oh what a wonderful day to be at the park!
35,Imaginative,No one showed up
35,"Vivacious (Lively, Animated)",I'm sure the fun will start any moment!
36,Impersonal,The girl is not very personal
37,"Colorful (Full of Life, Interesting)",They are playing soccer and giving directions. 
38,"Cerebral (Intellectual, Logical)",The calmness of the water indicates a 3 mph headwind 
38,Logical,"It does indeed, we must prepare the sails and get this ship sailing the right way."
38,"Cerebral (Intellectual, Logical)",This must be early in the morning due to no waves.
39,Daring,I would totally do this if someone paid me money.
39,"Airy (Casual, Not Serious)",Must have been fun
39,Daring,It just looks dull.
40,Considerate,Looks like someone worked very hard designing that building
41,"Vacuous (Empty, Unintelligent)",This kid has clearly never been outside.  He doesn't know what water is. 
41,Warm,I think he looks like he's exploring and learning.
41,"Vacuous (Empty, Unintelligent)",He looks like he expects to walk on top of it. Hey Jesus!
42,Dry,An old and hard to read book.
43,Sensitive,"What a lovely photograph, these two really care for each other, I'm so pleased."
44,"Eloquent (Well-spoken, Expressive)",A very telling photo of how two people can be a team.
45,High-spirited,Look how beautiful and majestic the scenery is! It really is a natural beauty!
46,Profound,The facade of this building must have taken weeks to finish by hand! Truly a sign of wealths past. 
47,Quirky,Milk in the making!
47,Confident,I'm sure that milk will be some of the best around.
47,Quirky,"Man, I'd love to just spot up right under the cow and squirt that good stuff directly into my mouth, and cut out the middle-man."
48,Lazy,"Yeah, this kid is laid back, just chillin"""
48,Businesslike,He will never get a job that way. 
48,Lazy,"look at that face, he doesn't need one, he can sit around all day"
49,Fiery,That baby wants something better to eat.
50,Serious,"It's good the gate is closed, that will help keep people out."
51,Artful,What a beautiful cultural gathering.
